,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6
ASC (Train),0.0,0.0,0.0,0.0,0.0,0.0
ASC (Car),1.72563898563385,3.848219156265259,-2.4837567806243896,0.8772225975990295,-2.213235855102539,2.592740774154663
Travel Time,-1.1806071996688843,-0.34961017966270447,-0.2625640332698822,-3.7210659980773926,-3.715299367904663,-4.988649368286133
Travel Cost,-8.145408630371094,-1.3957523107528687,-0.20513369143009186,-1.7210556268692017,-0.14083699882030487,-3.738412380218506
Class Share,0.24627380073070526,0.06513716280460358,0.10629106312990189,0.17059704661369324,0.2022491991519928,0.20945174992084503
VOT (CHF/min),1.8086529542406529,3.1256360354198054,15.972059921192212,26.97957825572034,329.1847768007726,16.651695675177937
