K,n_params,log_likelihood,AIC,BIC,prediction_LL,test_accuracy,train_accuracy
2,12,-7154.215765827465,14332.43153165493,14417.075770398098,-1638.3756905324421,0.6367880485527544,0.6053801169590644
3,18,-7044.8781348201455,14125.756269640291,14252.722627755045,-1618.220664230117,0.6367880485527544,0.595672514619883
4,24,-7207.890154541423,14463.780309082846,14633.068786569185,-1642.3667614880665,0.6293183940242764,0.583859649122807
5,30,-7188.093745824206,14436.187491648412,14647.798088506337,-1639.3166412556975,0.6363211951447245,0.5858479532163743
6,36,-7238.509290470747,14549.018580941494,14802.951297171003,-1647.8288576184616,0.6391223155929038,0.5901754385964912
7,42,-7182.644396248266,14449.288792496533,14745.543628097626,-1642.0890546074606,0.6395891690009337,0.5932163742690059
