,Class 1,Class 2,Class 3,Class 4,Class 5
ASC (Train),0.0,0.0,0.0,0.0,0.0
ASC (Car),3.1870193481445312,-1.1452155113220215,-4.930574893951416,-0.24960224330425262,2.275811195373535
Travel Time,-1.8663824796676636,-3.707110643386841,-0.37274307012557983,-0.1440596729516983,-2.7346012592315674
Travel Cost,-5.743443965911865,-0.060654107481241226,-0.41912782192230225,-0.23763634264469147,-2.9808671474456787
Class Share,0.17706237733364105,0.27356812357902527,0.09373129159212112,0.07118701189756393,0.3844512701034546
VOT (CHF/min),4.055000870170197,762.6723872730237,11.097515969982929,7.5647095180867145,11.447590352505431
