,Class 1,Class 2
ASC (Train),0.0,0.0
ASC (Car),-1.4615213871002197,1.8514090776443481
Travel Time,-2.2752363681793213,-0.9611818790435791
Travel Cost,-0.11250311881303787,-5.666007995605469
Class Share,0.49969443678855896,0.5003055334091187
VOT (CHF/min),252.3624006422819,2.1168548628972497
