K,n_params,log_likelihood,AIC,BIC,prediction_LL,test_LL,test_accuracy,train_accuracy
2,24,-6487.434514972656,13022.869029945312,13192.157507431652,-1491.2864655365747,-1502.964063139635,0.6872082166199813,0.6671345029239766
3,44,-6354.561361465672,12797.122722931344,13107.4849316563,-1425.7144893698055,-1448.367220541974,0.6909430438842203,0.6665497076023392
4,64,-6451.52982038875,13031.0596407775,13482.495580741072,-1471.345520717137,-1487.3752254730125,0.6802054154995332,0.6695906432748538
5,84,-6241.132795588386,12650.265591176772,13242.77526237896,-1429.2774434999583,-1436.7016987340646,0.7156862745098039,0.6790643274853801
6,104,-6222.250672718614,12652.501345437227,13386.08474787803,-1432.3699797466543,-1430.1269410232032,0.7091503267973857,0.6785964912280702
7,124,-6201.141537002289,12650.283074004577,13524.940207683998,-1429.0697804448569,-1440.5356400304463,0.7096171802054155,0.6823391812865497
8,144,-6220.506478452435,12729.01295690487,13744.743821822905,-1431.3583803714928,-1445.2072173357537,0.6914098972922502,0.6801169590643275
9,164,-6251.809647270444,12831.619294540887,13988.42389069754,-1421.1173187028485,-1424.38439223491,0.7054154995331466,0.6757894736842105
