,Class 1,Class 2,Class 3
ASC (Train),0.0,0.0,0.0
ASC (Car),2.806365489959717,1.2173573970794678,-2.2968859672546387
Travel Time,-2.619424819946289,-0.438435822725296,-2.3768181800842285
Travel Cost,-3.3595893383026123,-5.362729549407959,-0.25756242871284485
Class Share,0.33026373386383057,0.332478791475296,0.3372575640678406
VOT (CHF/min),9.72931882187343,1.0201941457552621,115.15323422716065
