,Class 1,Class 2,Class 3,Class 4
ASC (Train),0.0,0.0,0.0,0.0
ASC (Car),-1.7960606813430786,2.021061420440674,-1.29073166847229,2.743943452835083
Travel Time,-0.1244320347905159,-2.828519105911255,-3.8270437717437744,-1.7310551404953003
Travel Cost,-0.08869269490242004,-2.416388511657715,-0.0686836913228035,-5.731296539306641
Class Share,0.12738259136676788,0.371698796749115,0.27773916721343994,0.22317913174629211
VOT (CHF/min),17.506810999114837,14.606798745051192,695.3004218879951,3.768952929350537
