,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8
ASC (Train),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASC (Car),-2.8536791801452637,4.084644794464111,-1.7380293607711792,0.8168179392814636,1.1755999326705933,3.3060967922210693,2.3929617404937744,-2.5289201736450195
Travel Time,-4.244655132293701,-1.9308191537857056,-2.124351739883423,-0.9248747825622559,-3.916088819503784,-2.6072638034820557,-5.396453857421875,-0.08847955614328384
Travel Cost,-0.2098693698644638,-2.756387233734131,-0.14875149726867676,-6.9772114753723145,-1.77803635597229,-3.9284727573394775,-2.655393362045288,-0.24415867030620575
Class Share,0.12727491557598114,0.12416857481002808,0.12530526518821716,0.12503720819950104,0.12453902512788773,0.12417817860841751,0.12490841746330261,0.1245882511138916
VOT (CHF/min),252.38064346367727,8.741059163443863,178.20823629659952,1.6541075463876487,27.483661290418535,8.281784408616106,25.359593855544833,4.522030376791228
