,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7
ASC (Train),0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASC (Car),2.4659008979797363,-5.086721897125244,0.8489560484886169,-1.7093474864959717,-1.7241672277450562,1.9235382080078125,4.041201591491699
Travel Time,-5.560247421264648,-0.3760690689086914,-3.83479642868042,-1.0838203430175781,-3.7255756855010986,-1.2567957639694214,-0.3487566411495209
Travel Cost,-3.388591766357422,-0.6532202959060669,-1.7299842834472656,-0.1910213679075241,-0.11269564926624298,-8.36990737915039,-1.34040367603302
Class Share,0.16367019712924957,0.08218597620725632,0.15976428985595703,0.06605597585439682,0.19397784769535065,0.2610003650188446,0.07334540784358978
VOT (CHF/min),20.47564339620304,7.184071333805003,27.660679700724124,70.80077943228518,412.5237260236733,1.8737288653097983,3.246755368504848
