,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9
ASC (Train),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASC (Car),3.925532817840576,-1.375594139099121,0.6521071791648865,2.8875887393951416,0.7133117914199829,-2.3922746181488037,3.105692148208618,-2.529700517654419,1.4637643098831177
Travel Time,-0.33939483761787415,-3.5214831829071045,-3.7642662525177,-4.471141338348389,-2.5900230407714844,-2.0862910747528076,-2.728865146636963,-0.2794259488582611,-1.096601128578186
Travel Cost,-2.261624336242676,-0.14312395453453064,-0.4557459056377411,-2.558777332305908,-0.9818769693374634,-0.2103090137243271,-3.1862564086914062,-0.16293923556804657,-4.984028339385986
Class Share,0.11100313812494278,0.11293124407529831,0.11148486286401749,0.11071357131004333,0.11086906492710114,0.11019895225763321,0.11087080836296082,0.10967373847961426,0.1122547835111618
VOT (CHF/min),1.8726105017028405,307.0265853552352,103.06714584511418,21.804623650005535,32.916166109128206,123.78833016828604,10.68720262894365,21.39950615346757,2.7455596055892646
