,Class 1,Class 2
ASC (Train),0.0,0.0
ASC (Car),-2.4823410511016846,2.2338526248931885
Travel Time,-0.4191737473011017,-1.3160394430160522
Travel Cost,-0.3280257284641266,-9.484256744384766
Class Share,0.35680926327583645,0.6431907367241639
VOT (CHF/min),15.94589344416221,1.7315231200340533
