param,index,value
beta_raw,"0,0",-2.548870086669922
beta_raw,"0,1",-3.2522616386413574
beta_raw,"1,0",1.294111728668213
beta_raw,"1,1",8.659188270568848
beta_raw,"2,0",3.0447804927825928
beta_raw,"2,1",1.3465890884399414
asc_raw,"0,0",-0.11977444589138031
asc_raw,"0,1",-2.274818181991577
asc_raw,"1,0",-0.8846946954727173
asc_raw,"1,1",1.3800767660140991
asc_raw,"2,0",-1.7551931142807007
asc_raw,"2,1",-1.1774287223815918
gamma,"0,0",-0.33553969860076904
gamma,"0,1",-0.0784425437450409
gamma,"0,2",-0.0862518921494484
gamma,"0,3",2.418067216873169
gamma,"0,4",-0.7939413785934448
gamma,"0,5",-0.9340139031410217
gamma,"0,6",-0.8033030033111572
gamma,"0,7",0.27144941687583923
gamma,"0,8",-0.3827606737613678
gamma,"0,9",-0.6497515439987183
gamma,"0,10",0.5164071321487427
gamma,"0,11",1.0219069719314575
gamma,"0,12",0.37026652693748474
gamma,"0,13",-0.026676416397094727
gamma,"0,14",-0.1852499395608902
gamma,"0,15",-0.9158837199211121
gamma,"1,0",0.16665661334991455
gamma,"1,1",0.10471659153699875
gamma,"1,2",0.17591726779937744
gamma,"1,3",0.25958046317100525
gamma,"1,4",-0.6473714709281921
gamma,"1,5",-0.7669140100479126
gamma,"1,6",-0.6002281904220581
gamma,"1,7",0.057558175176382065
gamma,"1,8",-0.10628253221511841
gamma,"1,9",-0.010002989321947098
gamma,"1,10",-0.6674598455429077
gamma,"1,11",0.10455863177776337
gamma,"1,12",-0.7479375600814819
gamma,"1,13",-0.12855026125907898
gamma,"1,14",0.7747604846954346
gamma,"1,15",1.478049874305725
