param,index,value
beta_raw,"0,0",2.0232596397399902
beta_raw,"0,1",0.23721332848072052
beta_raw,"1,0",-2.629382848739624
beta_raw,"1,1",0.021632811054587364
beta_raw,"2,0",1.706384539604187
beta_raw,"2,1",3.3124923706054688
beta_raw,"3,0",2.7020437717437744
beta_raw,"3,1",9.683728218078613
beta_raw,"4,0",-0.08219054341316223
beta_raw,"4,1",-0.902834951877594
beta_raw,"5,0",3.112279176712036
beta_raw,"5,1",3.7727181911468506
asc_raw,"0,0",-1.255029320716858
asc_raw,"0,1",-7.987086296081543
asc_raw,"1,0",0.8861376047134399
asc_raw,"1,1",-4.32210636138916
asc_raw,"2,0",-0.8731930255889893
asc_raw,"2,1",3.744776487350464
asc_raw,"3,0",-0.7361816763877869
asc_raw,"3,1",1.3397034406661987
asc_raw,"4,0",0.6664593815803528
asc_raw,"4,1",0.1973830908536911
asc_raw,"5,0",-2.115312099456787
asc_raw,"5,1",-1.2264207601547241
gamma,"0,0",0.12098812311887741
gamma,"0,1",-0.05132927745580673
gamma,"0,2",0.09667720645666122
gamma,"0,3",2.1904704570770264
gamma,"0,4",0.45927494764328003
gamma,"0,5",-0.8111150860786438
gamma,"0,6",-0.29260724782943726
gamma,"0,7",-0.5585633516311646
gamma,"0,8",0.12900002300739288
gamma,"0,9",0.21880178153514862
gamma,"0,10",-0.6473385691642761
gamma,"0,11",0.908312976360321
gamma,"0,12",0.8717077374458313
gamma,"0,13",-0.1831250786781311
gamma,"0,14",-1.8748301267623901
gamma,"0,15",-3.453970432281494
gamma,"1,0",-0.03402566537261009
gamma,"1,1",-1.0139234066009521
gamma,"1,2",-0.07677696645259857
gamma,"1,3",1.8469202518463135
gamma,"1,4",-1.0193674564361572
gamma,"1,5",-1.8788083791732788
gamma,"1,6",-0.7648267149925232
gamma,"1,7",1.2274506092071533
gamma,"1,8",-0.3534414768218994
gamma,"1,9",-0.7227347493171692
gamma,"1,10",-0.2022961527109146
gamma,"1,11",1.6969318389892578
gamma,"1,12",-1.2692711353302002
gamma,"1,13",-0.25271132588386536
gamma,"1,14",-0.29247531294822693
gamma,"1,15",-3.2314085960388184
gamma,"2,0",-0.955224335193634
gamma,"2,1",0.18657907843589783
gamma,"2,2",0.144971564412117
gamma,"2,3",-1.9444525241851807
gamma,"2,4",-0.9354183673858643
gamma,"2,5",-0.88595050573349
gamma,"2,6",-0.43249213695526123
gamma,"2,7",0.2631828486919403
gamma,"2,8",-0.10571341216564178
gamma,"2,9",-0.26734909415245056
gamma,"2,10",-1.6339107751846313
gamma,"2,11",0.9329401254653931
gamma,"2,12",-0.6964085102081299
gamma,"2,13",-0.9416432976722717
gamma,"2,14",0.45016223192214966
gamma,"2,15",1.253939151763916
gamma,"3,0",0.3692167103290558
gamma,"3,1",0.2424326390028
gamma,"3,2",0.03457903116941452
gamma,"3,3",-0.541379451751709
gamma,"3,4",0.34160172939300537
gamma,"3,5",-0.3978165090084076
gamma,"3,6",-0.241043820977211
gamma,"3,7",-0.2824728190898895
gamma,"3,8",-0.05783533677458763
gamma,"3,9",0.22839617729187012
gamma,"3,10",-1.0985838174819946
gamma,"3,11",0.09572501480579376
gamma,"3,12",-0.38149386644363403
gamma,"3,13",-0.22996197640895844
gamma,"3,14",0.2983908951282501
gamma,"3,15",0.4504270553588867
gamma,"4,0",-0.2762194275856018
gamma,"4,1",0.03236527740955353
gamma,"4,2",-0.7078338861465454
gamma,"4,3",0.6735736131668091
gamma,"4,4",-0.8136894702911377
gamma,"4,5",-0.9522193670272827
gamma,"4,6",-0.4543895125389099
gamma,"4,7",-0.6412104964256287
gamma,"4,8",-0.906547486782074
gamma,"4,9",-0.7023074626922607
gamma,"4,10",0.0874490737915039
gamma,"4,11",0.2450125515460968
gamma,"4,12",0.3881581425666809
gamma,"4,13",0.9415358901023865
gamma,"4,14",0.8439209461212158
gamma,"4,15",1.0007658004760742
