param,index,value
beta_raw,"0,0",-1.3720288276672363
beta_raw,"0,1",-1.6233240365982056
beta_raw,"1,0",3.2418651580810547
beta_raw,"1,1",1.4914015531539917
beta_raw,"2,0",0.28490936756134033
beta_raw,"2,1",0.29352638125419617
beta_raw,"3,0",2.519461154937744
beta_raw,"3,1",10.011687278747559
beta_raw,"4,0",1.6990362405776978
beta_raw,"4,1",4.841419219970703
asc_raw,"0,0",1.062961220741272
asc_raw,"0,1",-0.615742027759552
asc_raw,"1,0",-1.8698440790176392
asc_raw,"1,1",-1.3601244688034058
asc_raw,"2,0",-1.7213373184204102
asc_raw,"2,1",-8.764660835266113
asc_raw,"3,0",-0.7664070725440979
asc_raw,"3,1",1.2084823846817017
asc_raw,"4,0",0.1602104753255844
asc_raw,"4,1",3.71927547454834
gamma,"0,0",0.09811663627624512
gamma,"0,1",-0.34209272265434265
gamma,"0,2",-0.4693469703197479
gamma,"0,3",0.421535849571228
gamma,"0,4",0.09885643422603607
gamma,"0,5",-0.37454813718795776
gamma,"0,6",0.18315204977989197
gamma,"0,7",0.7272930145263672
gamma,"0,8",-0.21826225519180298
gamma,"0,9",-0.3232133388519287
gamma,"0,10",1.0285818576812744
gamma,"0,11",-0.22426389157772064
gamma,"0,12",-0.32221174240112305
gamma,"0,13",0.9105421304702759
gamma,"0,14",0.15485844016075134
gamma,"0,15",-1.520313024520874
gamma,"1,0",0.3958725333213806
gamma,"1,1",-0.06642384082078934
gamma,"1,2",-0.039029188454151154
gamma,"1,3",-1.4130141735076904
gamma,"1,4",0.8351600170135498
gamma,"1,5",0.9999740123748779
gamma,"1,6",0.6951891183853149
gamma,"1,7",-0.2563278079032898
gamma,"1,8",0.32009851932525635
gamma,"1,9",0.5055462121963501
gamma,"1,10",1.041803002357483
gamma,"1,11",-0.7988003492355347
gamma,"1,12",-0.4010390341281891
gamma,"1,13",0.31676921248435974
gamma,"1,14",-0.5255677700042725
gamma,"1,15",-1.3565514087677002
gamma,"2,0",0.21075688302516937
gamma,"2,1",0.5647436380386353
gamma,"2,2",0.09552154690027237
gamma,"2,3",1.8276582956314087
gamma,"2,4",0.955041229724884
gamma,"2,5",-0.19741426408290863
gamma,"2,6",-0.5133617520332336
gamma,"2,7",-1.3898038864135742
gamma,"2,8",0.7437773942947388
gamma,"2,9",0.2611890733242035
gamma,"2,10",0.5894876718521118
gamma,"2,11",-0.03436804562807083
gamma,"2,12",1.2098193168640137
gamma,"2,13",0.3106673061847687
gamma,"2,14",-2.1818203926086426
gamma,"2,15",-3.8018083572387695
gamma,"3,0",0.4575769305229187
gamma,"3,1",0.3510828912258148
gamma,"3,2",0.069730244576931
gamma,"3,3",-2.495131731033325
gamma,"3,4",1.0774860382080078
gamma,"3,5",0.4806806743144989
gamma,"3,6",0.12289078533649445
gamma,"3,7",-0.6487849354743958
gamma,"3,8",0.6536250114440918
gamma,"3,9",0.8076910376548767
gamma,"3,10",0.40609508752822876
gamma,"3,11",-0.8885515332221985
gamma,"3,12",-0.304718554019928
gamma,"3,13",0.4257560968399048
gamma,"3,14",-0.05247218906879425
gamma,"3,15",-0.49474549293518066
