param,index,value
beta_raw,"0,0",3.647326707839966
beta_raw,"0,1",-2.8079750537872314
beta_raw,"1,0",-0.09543897956609726
beta_raw,"1,1",3.300028085708618
beta_raw,"2,0",-2.6442935466766357
beta_raw,"2,1",-0.7250933647155762
beta_raw,"3,0",1.7458750009536743
beta_raw,"3,1",2.959912061691284
beta_raw,"4,0",2.6231491565704346
beta_raw,"4,1",10.10378360748291
beta_raw,"5,0",-0.23421722650527954
beta_raw,"5,1",0.8975147604942322
beta_raw,"6,0",0.43910178542137146
beta_raw,"6,1",0.527582049369812
asc_raw,"0,0",-1.5390682220458984
asc_raw,"0,1",-2.1587631702423096
asc_raw,"1,0",0.4725569188594818
asc_raw,"1,1",0.24551844596862793
asc_raw,"2,0",2.0811612606048584
asc_raw,"2,1",-0.7571295499801636
asc_raw,"3,0",-1.2700409889221191
asc_raw,"3,1",3.7854464054107666
asc_raw,"4,0",-0.9387341141700745
asc_raw,"4,1",1.2098984718322754
asc_raw,"5,0",-0.8439218401908875
asc_raw,"5,1",-8.53765869140625
asc_raw,"6,0",0.24857895076274872
asc_raw,"6,1",-1.0381200313568115
gamma,"0,0",1.3695719242095947
gamma,"0,1",0.9046141505241394
gamma,"0,2",0.8693177700042725
gamma,"0,3",0.04245033115148544
gamma,"0,4",1.2216681241989136
gamma,"0,5",1.2834359407424927
gamma,"0,6",1.5898329019546509
gamma,"0,7",0.2839828133583069
gamma,"0,8",0.9915332794189453
gamma,"0,9",0.8093372583389282
gamma,"0,10",-0.745417058467865
gamma,"0,11",0.8695827126502991
gamma,"0,12",-0.285309374332428
gamma,"0,13",-0.13334055244922638
gamma,"0,14",-0.04947402700781822
gamma,"0,15",-0.34238457679748535
gamma,"1,0",1.3587262630462646
gamma,"1,1",0.452299028635025
gamma,"1,2",0.2854853868484497
gamma,"1,3",-0.8476439118385315
gamma,"1,4",-1.0655697584152222
gamma,"1,5",-0.8907988667488098
gamma,"1,6",0.09537392854690552
gamma,"1,7",-1.227767825126648
gamma,"1,8",0.3462769687175751
gamma,"1,9",0.007921990007162094
gamma,"1,10",-0.5047813057899475
gamma,"1,11",0.7305688858032227
gamma,"1,12",-0.9667468667030334
gamma,"1,13",1.0640738010406494
gamma,"1,14",1.9591156244277954
gamma,"1,15",1.6794754266738892
gamma,"2,0",0.31907373666763306
gamma,"2,1",0.4513964056968689
gamma,"2,2",0.7407214641571045
gamma,"2,3",0.4965917468070984
gamma,"2,4",-1.1034960746765137
gamma,"2,5",-1.163612961769104
gamma,"2,6",0.6394836902618408
gamma,"2,7",1.829705834388733
gamma,"2,8",0.16828258335590363
gamma,"2,9",-0.6363415718078613
gamma,"2,10",-0.08289827406406403
gamma,"2,11",1.5037760734558105
gamma,"2,12",-1.9249566793441772
gamma,"2,13",0.05090213194489479
gamma,"2,14",0.712516188621521
gamma,"2,15",-1.6020166873931885
gamma,"3,0",-0.07019924372434616
gamma,"3,1",1.1497262716293335
gamma,"3,2",1.039534568786621
gamma,"3,3",-2.63775634765625
gamma,"3,4",-0.2221507579088211
gamma,"3,5",0.2926657795906067
gamma,"3,6",0.6364946961402893
gamma,"3,7",0.44422706961631775
gamma,"3,8",1.0996814966201782
gamma,"3,9",0.5871295928955078
gamma,"3,10",-1.7874770164489746
gamma,"3,11",1.5004767179489136
gamma,"3,12",-0.8088379502296448
gamma,"3,13",-1.0913176536560059
gamma,"3,14",1.3385857343673706
gamma,"3,15",1.9401686191558838
gamma,"4,0",1.319327712059021
gamma,"4,1",1.1837154626846313
gamma,"4,2",0.8768916130065918
gamma,"4,3",-1.8386199474334717
gamma,"4,4",0.9109559059143066
gamma,"4,5",0.747300386428833
gamma,"4,6",0.9256546497344971
gamma,"4,7",-0.0666770190000534
gamma,"4,8",1.153225302696228
gamma,"4,9",0.9896581172943115
gamma,"4,10",-1.198140025138855
gamma,"4,11",0.5109876990318298
gamma,"4,12",-0.6520007848739624
gamma,"4,13",-0.22504061460494995
gamma,"4,14",1.055193543434143
gamma,"4,15",1.029499888420105
gamma,"5,0",0.8709855079650879
gamma,"5,1",0.8096198439598083
gamma,"5,2",0.44049134850502014
gamma,"5,3",1.5933247804641724
gamma,"5,4",0.15000580251216888
gamma,"5,5",0.26779839396476746
gamma,"5,6",0.1196480467915535
gamma,"5,7",-1.167290210723877
gamma,"5,8",1.0475168228149414
gamma,"5,9",0.33018243312835693
gamma,"5,10",-0.17382247745990753
gamma,"5,11",1.282988429069519
gamma,"5,12",-0.03996866196393967
gamma,"5,13",0.2699761390686035
gamma,"5,14",0.03945782408118248
gamma,"5,15",-1.5355767011642456
