,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7
ASC (Train),0.14549237,0.18696098,0.11147892,0.47704908,0.40333545,0.18199226,0.22960763
ASC (SwissMetro),0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASC (Car),0.40234226,0.1542841,0.080198966,0.1776223,0.1476563,0.23652084,0.15333298
Travel Time Coeff,0.16134141,0.025595427,0.060204234,0.10839171,0.17914681,0.26371345,0.2531586
Travel Cost Coeff,0.08185306,0.09444421,0.60004723,0.66573507,0.6158353,0.052446797,0.41029668
Class Share,0.007939919,0.007268084,0.014643713,0.00975623,0.0124774305,0.012919158,0.0145559935
VOT (CHF/hour),3.660992,0.7499579,0.064651586,2.61809,1.0341643,59.660137,2.906667
