,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7
ASC (Train),1.0516121,0.9221708,-0.66167307,-0.70125586,-0.038556803,-0.85088265,-1.1392194
ASC (SwissMetro),0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASC (Car),-3.9482207,0.20355338,0.95045525,4.138601,2.9468842,-3.2216067,-0.11801454
Travel Time Coeff,-1.114021,-0.06381734,-1.4493289,-1.7808471,-5.08341,-3.958462,-3.9267056
Travel Cost Coeff,-0.42344007,-0.25689244,-8.793376,-1.8112466,-4.0026,-0.13937636,-1.9174826
Class Share,0.085309416,0.05525805,0.23426445,0.09306115,0.1647134,0.21358,0.15381356
VOT (CHF/hour),13.210692,1.3675368,0.7962766,5.518029,6.2583632,155.97417,10.399971
