,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7
ASC (Train),-1.5124518,0.486354,2.0942736,-1.2740257,-0.9427084,-0.8414411,0.26646426
ASC (SwissMetro),0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASC (Car),-2.1436422,0.23039798,-0.76249033,3.7769213,1.2020615,-8.5208435,-1.0101748
Travel Time Coeff,-3.6722457,-0.65408593,-0.07351063,-1.9061844,-2.6937284,-0.5882448,-1.0639354
Travel Cost Coeff,-0.06312799,-3.3103204,-0.40119985,-3.0003767,-10.002798,-1.2480533,-1.0075467
Class Share,0.2644937,0.0761654,0.043055855,0.13299789,0.3686724,0.11034025,0.0042744908
VOT (CHF/hour),338.2723,1.0134008,0.9457989,3.342878,1.3014432,2.2748406,5.2954054
