,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7
ASC (Train),0.19332464,0.14277177,0.1856149,0.5585692,0.13048577,0.09844487,0.5833936
ASC (SwissMetro),0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASC (Car),0.14068282,0.14158295,0.30452517,0.12284174,0.051593505,0.50038093,0.6428023
Travel Time Coeff,0.23576991,0.08702966,0.036797985,0.07138807,0.079356566,0.1360597,0.46903443
Travel Cost Coeff,0.028379276,0.795218,0.11339405,0.81820184,0.72326505,0.07878586,0.2030819
Class Share,0.044843614,0.028084783,0.016340531,0.0327315,0.04981149,0.030752389,0.000493321
VOT (CHF/hour),155.79874,0.31484154,0.567092,1.1835647,0.09993409,0.54513484,2.7429855
